category,subcategory,metal,spanish,retail,retailp,unit,mode,isFee,isCall,single
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Insulated #2 / Mixed Wire,Cable aislado #2 / mezclado,$1.20 ,$1.25 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Insulated Low Grade,Cable aislado de baja calidad,$0.25 ,$0.30 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Aluminum BX Cable,Cable BX con canaleta de aluminio,$2.25 ,$2.35 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Steel BX Cable,Cable BX con canaleta de acero,$0.55 ,$0.60 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Red Brass,Latón rojo,$4.10 ,$4.20 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Yellow Brass,Latón amarillo,$3.10 ,$3.20 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Auto/Truck Radiators – Clean,Radiadores auto/camión — limpios,$3.20 ,$3.30 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Brass Shells,Vainas de latón,$3.15 ,$3.25 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Yellow Brass Turnings,Virutas de latón amarillo,$2.60 ,$2.70 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Brass – Chrome Shells,Vainas de latón cromado,$2.85 ,$2.95 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Auto Radiators – Irony,Radiadores con hierro,$1.90 ,$1.95 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Heater Cores,Núcleos de calefacción,$2.30 ,$2.40 ,lb,two-col,,,
BRASS,BRASS — Per Pound / LATÓN — Por Libra,Irony Brass / Spigots w/ Attachments,Latón con hierro / grifos con accesorios,$1.30 ,$1.35 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Cans,Latas de aluminio,$0.50 ,$0.55 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Siding & Gutters,Revestimiento y canaletas de aluminio,$0.55 ,$0.60 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Sheet Aluminum,Láminas de aluminio,$0.50 ,$0.55 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Cast Aluminum,Aluminio fundido,$0.50 ,$0.55 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Wheels,Rines de aluminio,$1.05 ,$1.10 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum EC Wire,Cable de aluminio EC — sin núcleo de acero,$1.20 ,$1.25 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Extrusions,Extrusiones de aluminio — limpias,$1.00 ,$1.05 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Truck Wheels,Rines de aluminio para camión,$0.65 ,$0.70 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Wheels – Chrome/Clad,Rines de aluminio cromados,$0.60 ,$0.65 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Radiators – Clean,Radiadores de aluminio — limpios,$0.35 ,$0.40 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Wire – Insulated,Cable de aluminio aislado,$0.55 ,$0.60 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Aluminum Turnings – Mixed,Virutas de aluminio mezcladas,$0.40 ,$0.45 ,lb,two-col,,,
ALUMINUM,ALUMINUM — Per Pound / ALUMINIO — Por Libra,Irony Aluminum,Aluminio con hierro / accesorios,$0.15 ,$0.20 ,lb,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,#1 Heavy Melt Steel – Prepared,Acero pesado #1 — preparado,$9.00 ,$9.50 ,cwt,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,#1 Heavy Melt Steel – Unprepared,Acero pesado #1 — sin preparar,$7.00 ,$7.50 ,cwt,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,Light Iron / Tin,Hierro liviano / hojalata,$5.75 ,$6.25 ,cwt,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,Car Rotors,Rotores de frenos,$9.25 ,$9.75 ,cwt,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,Steel Turnings,Virutas de acero,$2.75 ,$3.25 ,cwt,two-col,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,Automobiles – Incomplete w/ Tires,Automóviles — incompletos con llantas,$6.25 ,,cwt,single,,,
IRON & STEEL,IRON & STEEL — Per 100 Pounds / HIERRO Y ACERO — Por 100 Libras,Automobiles – Complete w/ Tires,Automóviles — completos con llantas,$9.50 ,,cwt,single,,,
STAINLESS STEEL,STAINLESS STEEL — Per Pound / ACERO INOXIDABLE — Por Libra,Stainless 316 – Unprepared,Acero inoxidable 316 — sin preparar,$0.60 ,$0.65 ,lb,two-col,,,
STAINLESS STEEL,STAINLESS STEEL — Per Pound / ACERO INOXIDABLE — Por Libra,Stainless 304 – Unprepared,Acero inoxidable 304 — sin preparar,$0.20 ,$0.25 ,lb,two-col,,,
STAINLESS STEEL,STAINLESS STEEL — Per Pound / ACERO INOXIDABLE — Por Libra,Stainless Turnings,Virutas de acero inoxidable,$0.15 ,$0.20 ,lb,two-col,,,
STAINLESS STEEL,STAINLESS STEEL — Per Pound / ACERO INOXIDABLE — Por Libra,Stainless Steel – Irony 18/8,Acero inoxidable 18/8 — con hierro,$0.06 ,$0.10 ,lb,two-col,,,
STAINLESS STEEL,STAINLESS STEEL — Per Pound / ACERO INOXIDABLE — Por Libra,Magnetic Stainless – 430,Acero inoxidable magnético 430,$0.06 ,$0.10 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Soft Lead,Plomo suave,$0.25 ,$0.30 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Range Lead,Plomo de campo de tiro,$0.30 ,$0.35 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Wheel Weights,Pesas de ruedas,$0.05 ,$0.06 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Industrial / Steel Wrapped Batteries,Baterías industriales / envueltas en acero,$0.10 ,$0.15 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Auto/Truck Batteries,Baterías de auto / camión,$0.15 ,$0.20 ,lb,two-col,,,
LEAD & BATTERIES,"LEAD, BATTERIES & ZINC — Per Pound / PLOMO, BATERÍAS Y ZINC — Por Libra",Zinc – Die Cast,Zinc fundido a presión,$0.30 ,$0.35 ,lb,two-col,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Desktop Computers & Servers,Computadoras de escritorio y servidores,$0.10 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,"Video Game Consoles, Routers, Switches & Hard Drives","Consolas, routers, switches y discos duros",$0.20 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Laptop Computers,Computadoras portátiles,$0.50 – $0.60 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Tablets / Cell Phones,Tabletas / teléfonos celulares,$0.25 – $1.75 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Circuit Boards,Tarjetas de circuito impreso,$0.25 – $1.00 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,RAM / Memory,Memoria RAM,$9.75 – $27.00 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Processors (Intel / AMD),Procesadores (Intel / AMD),$6.50 / lb,,lb,single,,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,"Printers, Copiers, Keyboards & Misc.","Impresoras, copiadoras, teclados y más",($0.25 / lb),,lb,single,TRUE,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Televisions & Computer Monitors,Televisores y monitores de computadora,($1.00 / lb),,lb,single,TRUE,,
ELECTRONICS,ELECTRONICS & MISCELLANEOUS / ELECTRÓNICOS Y MISCELÁNEOS,Cardboard,Cartón,($7.50 / cwt),,cwt,single,TRUE,,
HOLIDAY,,May 23 2026,May 25 2026,Memorial Day,,,,,,
HOLIDAY,,July 3 2026,July 5 2026,Independence Day,,,,,,
HOLIDAY,,September 5 2026,September 7 2026,Labor Day,,,,,,
HOLIDAY,,November 26 2026,November 29 2026,Thanksgiving,,,,,,
HOLIDAY,,December 24 2026,December 27 2026,Christmas,,,,,,
HOLIDAY,,January 1 2027,January 3 2027,New Years,,,,,,
